Epi_date_V3,Year,Cases,7-Day Average,Cumulative Cases,AsOf
6/10/2022,2022,24,13.142857551574707,180,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
6/11/2022,2022,11,14,191,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
6/12/2022,2022,25,16.714284896850586,216,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
6/13/2022,2022,25,17.428571701049805,241,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
6/14/2022,2022,26,18.428571701049805,267,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
6/15/2022,2022,32,21.285715103149414,299,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
6/16/2022,2022,26,24.14285659790039,325,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
6/17/2022,2022,33,25.428571701049805,358,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
6/18/2022,2022,26,27.571428298950195,384,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
6/19/2022,2022,36,29.14285659790039,420,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
6/20/2022,2022,42,31.571428298950195,462,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
6/21/2022,2022,43,34,505,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
6/22/2022,2022,62,38.28571319580078,567,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
6/23/2022,2022,56,42.57143020629883,623,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
6/24/2022,2022,49,44.85714340209961,672,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
6/25/2022,2022,55,49,727,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
6/26/2022,2022,66,53.28571319580078,793,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
6/27/2022,2022,97,61.14285659790039,890,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
6/28/2022,2022,90,67.85713958740234,980,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
6/29/2022,2022,78,70.14286041259766,1058,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
6/30/2022,2022,115,78.57142639160156,1173,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/1/2022,2022,137,91.14286041259766,1310,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/2/2022,2022,127,101.42857360839844,1437,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/3/2022,2022,131,110.71428680419922,1568,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/4/2022,2022,162,120,1730,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/5/2022,2022,184,133.42857360839844,1914,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/6/2022,2022,179,147.85714721679688,2093,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/7/2022,2022,183,157.57142639160156,2276,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/8/2022,2022,245,173,2521,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/9/2022,2022,192,182.2857208251953,2713,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/10/2022,2022,221,195.14285278320312,2934,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/11/2022,2022,346,221.42857360839844,3280,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/12/2022,2022,237,229,3517,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/13/2022,2022,277,243,3794,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/14/2022,2022,303,260.1428527832031,4097,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/15/2022,2022,353,275.5714416503906,4450,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/16/2022,2022,257,284.8571472167969,4707,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/17/2022,2022,248,288.71429443359375,4955,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/18/2022,2022,412,298.1428527832031,5367,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/19/2022,2022,327,311,5694,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/20/2022,2022,369,324.1428527832031,6063,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/21/2022,2022,335,328.71429443359375,6398,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/22/2022,2022,354,328.8571472167969,6752,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/23/2022,2022,307,336,7059,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/24/2022,2022,329,347.5714416503906,7388,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/25/2022,2022,516,362.4285583496094,7904,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/26/2022,2022,408,374,8312,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/27/2022,2022,460,387,8772,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/28/2022,2022,425,399.8571472167969,9197,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/29/2022,2022,455,414.28570556640625,9652,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/30/2022,2022,371,423.4285583496094,10023,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
7/31/2022,2022,359,427.71429443359375,10382,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/1/2022,2022,641,445.5714416503906,11023,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/2/2022,2022,474,455,11497,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/3/2022,2022,447,453.1428527832031,11944,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/4/2022,2022,445,456,12389,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/5/2022,2022,486,460.4285583496094,12875,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/6/2022,2022,388,462.8571472167969,13263,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/7/2022,2022,350,461.5714416503906,13613,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/8/2022,2022,509,442.71429443359375,14122,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/9/2022,2022,415,434.28570556640625,14537,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/10/2022,2022,473,438,15010,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/11/2022,2022,408,432.71429443359375,15418,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/12/2022,2022,403,420.8571472167969,15821,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/13/2022,2022,353,415.8571472167969,16174,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/14/2022,2022,311,410.28570556640625,16485,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/15/2022,2022,475,405.4285583496094,16960,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/16/2022,2022,329,393.1428527832031,17289,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/17/2022,2022,342,374.4285583496094,17631,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/18/2022,2022,404,373.8571472167969,18035,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/19/2022,2022,400,373.4285583496094,18435,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/20/2022,2022,343,372,18778,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/21/2022,2022,277,367.1428527832031,19055,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/22/2022,2022,349,349.1428527832031,19404,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/23/2022,2022,361,353.71429443359375,19765,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/24/2022,2022,307,348.71429443359375,20072,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/25/2022,2022,318,336.4285583496094,20390,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/26/2022,2022,318,324.71429443359375,20708,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/27/2022,2022,237,309.5714416503906,20945,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/28/2022,2022,238,304,21183,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/29/2022,2022,311,298.5714416503906,21494,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/30/2022,2022,268,285.28570556640625,21762,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
8/31/2022,2022,229,274.1428527832031,21991,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/1/2022,2022,338,277,22329,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/2/2022,2022,280,271.5714416503906,22609,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/3/2022,2022,194,265.4285583496094,22803,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/4/2022,2022,163,254.7142791748047,22966,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/5/2022,2022,236,244,23202,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/6/2022,2022,275,245,23477,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/7/2022,2022,228,244.85714721679688,23705,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/8/2022,2022,239,230.7142791748047,23944,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/9/2022,2022,215,221.42857360839844,24159,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/10/2022,2022,172,218.2857208251953,24331,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/11/2022,2022,107,210.2857208251953,24438,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/12/2022,2022,245,211.57142639160156,24683,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/13/2022,2022,193,199.85714721679688,24876,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/14/2022,2022,181,193.14285278320312,25057,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/15/2022,2022,183,185.14285278320312,25240,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/16/2022,2022,175,179.42857360839844,25415,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/17/2022,2022,137,174.42857360839844,25552,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/18/2022,2022,119,176.14285278320312,25671,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/19/2022,2022,137,160.7142791748047,25808,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/20/2022,2022,167,157,25975,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/21/2022,2022,136,150.57142639160156,26111,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/22/2022,2022,149,145.7142791748047,26260,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/23/2022,2022,118,137.57142639160156,26378,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/24/2022,2022,85,130.14285278320312,26463,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/25/2022,2022,83,125,26546,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/26/2022,2022,143,125.85713958740234,26689,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/27/2022,2022,106,117.14286041259766,26795,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/28/2022,2022,100,112,26895,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/29/2022,2022,110,106.42857360839844,27005,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
9/30/2022,2022,104,104.42857360839844,27109,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/1/2022,2022,85,104.42857360839844,27194,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/2/2022,2022,63,101.57142639160156,27257,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/3/2022,2022,90,94,27347,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/4/2022,2022,87,91.28571319580078,27434,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/5/2022,2022,85,89.14286041259766,27519,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/6/2022,2022,106,88.57142639160156,27625,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/7/2022,2022,84,85.71428680419922,27709,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/8/2022,2022,55,81.42857360839844,27764,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/9/2022,2022,72,82.71428680419922,27836,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/10/2022,2022,80,81.28571319580078,27916,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/11/2022,2022,68,78.57142639160156,27984,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/12/2022,2022,68,76.14286041259766,28052,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/13/2022,2022,68,70.71428680419922,28120,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/14/2022,2022,72,69,28192,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/15/2022,2022,47,67.85713958740234,28239,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/16/2022,2022,44,63.85714340209961,28283,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/17/2022,2022,61,61.14285659790039,28344,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/18/2022,2022,55,59.28571319580078,28399,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/19/2022,2022,44,55.85714340209961,28443,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/20/2022,2022,61,54.85714340209961,28504,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/21/2022,2022,56,52.57143020629883,28560,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/22/2022,2022,36,51,28596,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/23/2022,2022,27,48.57143020629883,28623,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/24/2022,2022,52,47.28571319580078,28675,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/25/2022,2022,43,45.57143020629883,28718,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/26/2022,2022,51,46.57143020629883,28769,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/27/2022,2022,50,45,28819,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/28/2022,2022,38,42.42856979370117,28857,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/29/2022,2022,29,41.42856979370117,28886,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/30/2022,2022,28,41.57143020629883,28914,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
10/31/2022,2022,47,40.85714340209961,28961,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/1/2022,2022,39,40.28571319580078,29000,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/2/2022,2022,41,38.85714340209961,29041,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/3/2022,2022,40,37.42856979370117,29081,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/4/2022,2022,32,36.57143020629883,29113,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/5/2022,2022,31,36.85714340209961,29144,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/6/2022,2022,29,37,29173,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/7/2022,2022,42,36.28571319580078,29215,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/8/2022,2022,25,34.28571319580078,29240,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/9/2022,2022,33,33.14285659790039,29273,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/10/2022,2022,29,31.571428298950195,29302,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/11/2022,2022,32,31.571428298950195,29334,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/12/2022,2022,16,29.428571701049805,29350,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/13/2022,2022,22,28.428571701049805,29372,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/14/2022,2022,36,27.571428298950195,29408,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/15/2022,2022,18,26.571428298950195,29426,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/16/2022,2022,23,25.14285659790039,29449,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/17/2022,2022,13,22.85714340209961,29462,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/18/2022,2022,31,22.714284896850586,29493,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/19/2022,2022,19,23.14285659790039,29512,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/20/2022,2022,19,22.714284896850586,29531,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/21/2022,2022,25,21.14285659790039,29556,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/22/2022,2022,17,21,29573,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/23/2022,2022,19,20.428571701049805,29592,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/24/2022,2022,17,21,29609,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/25/2022,2022,13,18.428571701049805,29622,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/26/2022,2022,14,17.714284896850586,29636,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/27/2022,2022,9,16.285715103149414,29645,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/28/2022,2022,21,15.714285850524902,29666,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/29/2022,2022,16,15.571428298950195,29682,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
11/30/2022,2022,14,14.857142448425293,29696,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/1/2022,2022,19,15.142857551574707,29715,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/2/2022,2022,16,15.571428298950195,29731,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/3/2022,2022,7,14.571428298950195,29738,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/4/2022,2022,11,14.857142448425293,29749,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/5/2022,2022,24,15.285714149475098,29773,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/6/2022,2022,10,14.428571701049805,29783,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/7/2022,2022,13,14.285714149475098,29796,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/8/2022,2022,16,13.857142448425293,29812,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/9/2022,2022,12,13.285714149475098,29824,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/10/2022,2022,12,14,29836,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/11/2022,2022,7,13.428571701049805,29843,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/12/2022,2022,16,12.285714149475098,29859,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/13/2022,2022,11,12.428571701049805,29870,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/14/2022,2022,13,12.428571701049805,29883,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/15/2022,2022,17,12.571428298950195,29900,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/16/2022,2022,17,13.285714149475098,29917,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/17/2022,2022,8,12.714285850524902,29925,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/18/2022,2022,9,13,29934,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/19/2022,2022,16,13,29950,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/20/2022,2022,12,13.142857551574707,29962,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/21/2022,2022,2,11.571428298950195,29964,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/22/2022,2022,9,10.428571701049805,29973,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/23/2022,2022,10,9.428571701049805,29983,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/24/2022,2022,5,9,29988,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/25/2022,2022,7,8.714285850524902,29995,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/26/2022,2022,8,7.5714287757873535,30003,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/27/2022,2022,4,6.4285712242126465,30007,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/28/2022,2022,6,7,30013,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/29/2022,2022,3,6.142857074737549,30016,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/30/2022,2022,5,5.4285712242126465,30021,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
12/31/2022,2022,5,5.4285712242126465,30026,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
1/1/2023,2023,11,6,30037,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
1/2/2023,2023,3,5.285714149475098,30040,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
1/3/2023,2023,10,6.142857074737549,30050,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
1/4/2023,2023,3,5.714285850524902,30053,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
1/5/2023,2023,9,6.5714287757873535,30062,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
1/6/2023,2023,6,6.714285850524902,30068,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
1/7/2023,2023,6,6.857142925262451,30074,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
1/8/2023,2023,8,6.4285712242126465,30082,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
1/9/2023,2023,7,7,30089,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
1/10/2023,2023,10,7,30099,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
1/11/2023,2023,7,7.5714287757873535,30106,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
1/12/2023,2023,7,7.285714149475098,30113,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
1/13/2023,2023,6,7.285714149475098,30119,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
1/14/2023,2023,6,7.285714149475098,30125,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
1/15/2023,2023,6,7,30131,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
1/16/2023,2023,4,6.5714287757873535,30135,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
1/17/2023,2023,2,5.4285712242126465,30137,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
1/18/2023,2023,3,4.857142925262451,30140,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
1/19/2023,2023,2,4.142857074737549,30142,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
1/20/2023,2023,11,4.857142925262451,30153,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
1/21/2023,2023,5,4.714285850524902,30158,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
1/22/2023,2023,4,4.4285712242126465,30162,Data as Reported to CDC as of 09 Aug 2023 2:00 PM EDT
